date,location,short_name,long_name,census2019,date_type,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_moderna,administered_pfizer,administered_janssen,administered_unk_manuf,administered_dose1_recip,administered_dose1_pop_pct,administered_dose2_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_18plus,admin_per_100k_18plus,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,administered_65plus,admin_per_100k_65plus,administered_dose2_recip,administered_dose2_recip_18plus,administered_dose2_recip_18plus_pop_pct,distributed_per_100k_18plus,distributed_moderna,distributed_pfizer,distributed_janssen,distributed_unk_manuf,series_complete_moderna,series_complete_pfizer,series_complete_janssen,series_complete_unk_manuf,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_janssen_18plus,series_complete_unk_manuf_18plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_janssen_65plus,series_complete_unk_manuf_65plus,series_complete_yes,series_complete_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,administered_fed_ltc,administered_fed_ltc_dose1,administered_fed_ltc_dose2,series_complete_fed_ltc,skipped,skip_n
2021-03-12,DC,DCA,District of Columbia,705749,Report,385925,250090,54683,35436,100957,149131,2,0,112244,15.9,8.1,112196,19.4,250024,43288,49402,56.6,97495,111623,57473,57463,9.9,66817,176300,201825,7800,0,27316,30149,556,8,27315,30140,556,8,15330,11844,26,3,58029,8.2,58019,10,27203,31.1,NA,NA,NA,NA,No,0
2021-03-12,DD2,DD2,Dept of Defense,0,Report,1916650,1403967,0,0,663249,738953,1366,399,928122,0,0,924686,0,1400188,0,116357,0,171924,0,459757,459414,0,0,865900,1008150,42600,0,203428,256329,1366,0,203401,256013,1366,0,16224,38696,32,0,461123,0,460780,0,54952,0,NA,NA,NA,NA,No,0
2021-03-12,DE,DEA,Delaware,973764,Report,419015,307982,43030,31628,140970,164686,2292,34,190252,19.5,11.2,190091,24.7,307743,39957,119633,63.3,188893,99993,108975,108915,14.1,54404,202100,206115,10800,0,53279,55683,2369,13,53267,55635,2369,13,33315,31934,2225,7,111344,11.4,111284,14.4,67481,35.7,NA,NA,NA,NA,No,0
2021-03-12,FL,FLA,Florida,21477737,Report,8877915,6613352,41335,30792,3333652,3233652,37895,8153,4076435,19,10.3,4069796,23.6,6605634,38298,2861853,63.6,4813060,107020,2205660,2204689,12.8,51473,4441900,4152915,283100,0,1084531,1118370,37607,2759,1083973,1117957,37596,2759,813324,827002,13072,2383,2243267,10.4,2242285,13,1655781,36.8,NA,NA,NA,NA,No,0
2021-03-12,FM,FMA,Federated States of Micronesia,103643,Report,47400,19086,45734,18415,19086,0,0,0,11870,11.5,7,11865,14.7,19081,23603,1214,6.9,1982,11249,7261,7261,9,58633,46600,0,800,0,7241,20,0,0,7241,20,0,0,786,5,0,0,7261,7,7261,9,791,4.5,NA,NA,NA,NA,No,0
2021-03-12,GA,GAA,Georgia,10617423,Report,3980645,2598432,37492,24473,1444543,1146186,7484,219,1548497,14.6,9.2,1547445,19.1,2597033,32009,898718,59.2,1552645,102353,971965,971603,12,49062,2067000,1803945,109700,0,539545,432293,7752,127,539492,431984,7750,127,360682,237924,1766,79,979717,9.2,979353,12.1,600451,39.6,NA,NA,NA,NA,No,0
2021-03-12,GU,GUA,Guam,165768,Report,87860,63697,53002,38425,32376,31321,0,0,36600,22.1,16,36575,28.3,63656,49232,11035,39.2,20219,71747,26580,26566,20.5,67951,38200,48360,1300,0,12945,13635,0,0,12944,13622,0,0,3859,5157,0,0,26580,16,26566,20.5,9016,32,NA,NA,NA,NA,No,0
2021-03-12,HI,HIA,Hawaii,1415872,Report,676520,503482,47781,35560,179454,229667,601,93760,314009,22.2,13.6,312805,28,502781,45052,119551,44.5,194194,72340,193007,192878,17.3,60620,296900,365820,13800,0,72344,102658,625,18005,72308,102582,624,17988,35567,39138,86,1406,193632,13.7,193502,17.3,76197,28.4,NA,NA,NA,NA,No,0
2021-03-12,IA,IAA,Iowa,3155070,Report,1257345,1034296,39852,32782,553867,455343,24967,119,699106,22.2,10.6,697918,28.7,1032385,42516,388924,70.3,544364,98447,334736,334026,13.8,51780,642900,579345,35100,0,178914,155815,24951,7,178905,155114,24944,7,79069,78123,2044,2,359687,11.4,358970,14.8,159238,28.8,NA,NA,NA,NA,No,0
2021-03-12,ID,IDA,Idaho,1787065,Report,669775,522505,37479,29238,272482,246720,3130,173,324180,18.1,10.7,324154,24.2,522486,39025,180730,62.2,272036,93589,190456,190449,14.2,50026,342300,309075,18400,0,99799,90628,3023,29,99798,90622,3017,29,42416,48428,1531,15,193479,10.8,193466,14.5,92390,31.8,NA,NA,NA,NA,No,0
2021-03-12,IH2,IH2,Indian Health Svc,2082813,Report,1239435,715356,59508,34346,387368,326841,1147,0,466856,22.4,11.6,460691,0,707273,0,121501,0,205484,0,242302,240432,0,0,739200,478335,21900,0,115973,126329,1143,0,115938,124494,1143,0,44325,36908,82,0,243445,11.7,241575,0,81315,0,NA,NA,NA,NA,No,0
2021-03-12,IL,ILA,Illinois,12671821,Report,5044435,3925271,39808,30976,1931482,1959358,32967,1464,2603710,20.5,10.2,2598388,26.4,3917949,39760,1180372,57.8,1745933,85450,1298015,1296103,13.2,51192,2509600,2401035,133800,0,616742,680834,31903,439,616590,679074,31854,439,285677,282105,8815,268,1329918,10.5,1327957,13.5,576865,28.2,NA,NA,NA,NA,No,0
2021-03-12,IN,INA,Indiana,6732219,Report,2536330,2030306,37675,30158,945523,1062585,19806,2392,1239957,18.4,11.5,1239394,24,2029415,39297,712965,65.7,1228460,113145,772207,771874,14.9,49113,1248900,1211730,75700,0,360103,411253,19808,851,360074,410949,19805,851,257469,241462,2193,621,792015,11.8,791679,15.3,501745,46.2,NA,NA,NA,NA,No,0
2021-03-12,KS,KSA,Kansas,2913314,Report,1251145,847260,42946,29082,473778,366872,6445,165,582831,20,10.2,581750,26.3,845722,38215,294984,62,413220,86905,297139,296611,13.4,56535,641100,579345,30700,0,158580,138489,6431,70,158562,137979,6429,70,71358,67659,2169,45,303570,10.4,303040,13.7,141231,29.7,NA,NA,NA,NA,No,0
2021-03-12,KY,KYA,Kentucky,4467673,Report,1770615,1401175,39632,31363,725975,661666,13451,83,953333,21.3,10.6,952097,27.5,1399078,40380,442675,59,637636,84954,471460,471196,13.6,51103,894200,830115,46300,0,248133,223266,13349,61,248115,223020,13344,61,91281,120541,4942,35,484809,10.9,484540,14,216799,28.9,NA,NA,NA,NA,No,0
2021-03-12,LA,LAA,Louisiana,4648794,Report,1834230,1379998,39456,29685,599461,757344,22402,791,872278,18.8,10.4,871841,24.5,1379429,38735,466034,62.9,794680,107241,483534,483417,13.6,51506,898900,884130,51200,0,186340,296836,21677,358,186327,296733,21673,357,128583,184384,6350,69,505211,10.9,505090,14.2,319386,43.1,NA,NA,NA,NA,No,0
2021-03-12,MA,MAA,Massachusetts,6892503,Report,2861490,2443419,41516,35450,1207578,1192659,43141,41,1650762,24,11.2,1647576,29.7,2438872,44025,783938,67,1105585,94548,768610,767343,13.9,51654,1461000,1322490,78000,0,346450,422153,42842,7,346368,420968,42822,7,111763,209720,22163,3,811452,11.8,810165,14.6,343649,29.4,NA,NA,NA,NA,No,0
2021-03-12,MD,MDA,Maryland,6045680,Report,2405820,1859444,39794,30757,914755,898391,45154,1144,1245004,20.6,11,1243371,26.4,1857276,39424,568274,59.2,826995,86200,662141,661566,14,51068,1187100,1153620,65100,0,307717,354114,44155,310,307677,353579,44147,310,125991,150058,18394,143,706296,11.7,705713,15,294586,30.7,NA,NA,NA,NA,No,0
2021-03-12,ME,MEA,Maine,1344212,Report,582520,476530,43335,35451,237154,227800,11546,30,320144,23.8,12,319862,29.2,476076,43463,192998,67.7,273304,95807,160700,160518,14.7,53180,305600,260520,16400,0,79566,81129,11570,5,79545,80968,11568,5,32822,49163,6586,2,172270,12.8,172086,15.7,88573,31,NA,NA,NA,NA,No,0
2021-03-12,MH,MHA,Marshall Islands,58413,Report,35600,15896,60945,27213,15896,0,0,0,11121,19,8.1,11098,24.4,15874,34840,781,7.9,1195,12034,4722,4721,10.4,78135,35000,0,600,0,4721,1,2,0,4720,1,2,0,411,0,2,0,4724,8.1,4723,10.4,413,4.2,NA,NA,NA,NA,No,0
2021-03-12,MI,MIA,Michigan,9986857,Report,3847200,2983009,38523,29869,1371180,1602223,9606,0,1936578,19.4,10.7,1935314,24.7,2981170,38011,1076845,61,1592192,90189,1072230,1071653,13.7,49053,1920300,1817400,109500,0,428561,643632,9941,37,428514,643102,9937,37,226487,309961,4658,30,1082171,10.8,1081590,13.8,541136,30.7,NA,NA,NA,NA,No,0
2021-03-12,MN,MNA,Minnesota,5639632,Report,2234040,1874674,39613,33241,869247,973591,31651,185,1249489,22.2,11.2,1248076,28.8,1872625,43183,667143,72.5,945681,102749,633244,632569,14.6,51517,1111900,1063140,59000,0,267293,365910,31581,41,267266,365262,31573,41,118429,172938,19756,15,664825,11.8,664142,15.3,311138,33.8,NA,NA,NA,NA,No,0
2021-03-12,MO,MOA,Missouri,6137428,Report,2383325,1759789,38833,28673,719703,1024915,14949,222,1110044,18.1,9.5,1109005,23.3,1758287,36886,579395,54.6,890987,83894,582951,582572,12.2,49998,1145200,1184625,53500,0,206663,376264,15185,24,206635,375914,15184,23,113176,166031,6168,7,598136,9.7,597756,12.5,285382,26.9,NA,NA,NA,NA,No,0
2021-03-12,MP,MPA,Northern Mariana Islands,56882,Report,44010,21638,77371,38040,2396,19242,0,0,12628,22.2,15.8,12615,28.4,21614,48715,2081,21.5,3942,40765,8997,8986,20.3,99193,12800,30810,400,0,619,8378,0,0,619,8367,0,0,233,1625,0,0,8997,15.8,8986,20.3,1858,19.2,NA,NA,NA,NA,No,0
2021-03-12,MS,MSA,Mississippi,2976149,Report,1218895,824528,40955,27705,440406,372750,10877,495,539704,18.1,9.7,539433,23.7,824159,36186,270985,55.7,430897,88536,288277,288185,12.7,53517,636800,550095,32000,0,152913,135354,10639,10,152897,135278,10635,10,90253,74328,3034,3,298916,10,298820,13.1,167618,34.4,NA,NA,NA,NA,No,0
2021-03-12,MT,MTA,Montana,1068778,Report,465945,370463,43596,34662,199958,167771,2642,92,237009,22.2,12.5,236384,28.1,369612,43991,122166,59.2,192351,93177,133792,133579,15.9,55457,256300,197145,12500,0,72472,61294,2678,26,72454,61099,2678,26,35041,36455,880,13,136470,12.8,136257,16.2,72389,35.1,NA,NA,NA,NA,No,0
2021-03-12,NC,NCA,North Carolina,10488084,Report,4132380,3165928,39401,30186,1369136,1774387,22076,329,2014895,19.2,10.6,2011365,24.6,3161562,38615,1124510,64.2,1898911,108441,1107747,1106883,13.5,50473,2042600,1978080,111700,0,426714,681010,22076,23,426605,680255,22023,23,311944,423369,4362,18,1129823,10.8,1128906,13.8,739693,42.2,NA,NA,NA,NA,No,0
2021-03-12,ND,NDA,North Dakota,762062,Report,343200,297605,45036,39053,145845,149080,2680,0,186005,24.4,12.9,185549,31.9,296955,51033,86660,72.3,142447,118859,98317,98168,16.9,58980,178400,156000,8800,0,47795,50522,2679,0,47781,50387,2677,0,24062,26259,601,0,100996,13.3,100845,17.3,50922,42.5,NA,NA,NA,NA,No,0
2021-03-12,NE,NEA,Nebraska,1934408,Report,816830,653385,42226,33777,317385,319693,15000,1307,421931,21.8,11.6,421222,28.9,652271,44727,219500,70.2,331140,105979,225148,224733,15.4,56011,400600,392730,23500,0,108593,116235,15339,320,108566,115847,15334,320,48465,59568,1080,239,240487,12.4,240067,16.5,109352,35,NA,NA,NA,NA,No,0
2021-03-12,NH,NHA,New Hampshire,1359711,Report,548625,431296,40349,31720,239403,182945,8921,27,315641,23.2,9.7,314837,28.5,430177,38949,178983,70.5,221705,87332,131701,131403,11.9,49674,284200,248625,15800,0,78606,53090,9192,5,78543,52855,9186,5,27562,23215,6634,2,140893,10.4,140589,12.7,57413,22.6,NA,NA,NA,NA,No,0
2021-03-12,NJ,NJA,New Jersey,8882190,Report,3517135,2916801,39598,32839,1518481,1366866,30979,475,2018387,22.7,11.2,2012716,29,2909214,41898,831406,56.3,1202720,81511,996890,994969,14.3,50653,1742000,1679535,95600,0,502638,494247,30812,5,502562,492402,30805,5,193724,211035,9306,3,1027702,11.6,1025774,14.8,414068,28.1,NA,NA,NA,NA,No,0
2021-03-12,NM,NMA,New Mexico,2096829,Report,1024955,895586,48881,42711,402865,489306,2334,1081,581690,27.7,15.5,576632,35.6,889949,54902,222998,59.1,343050,90849,323997,322410,19.9,63230,490600,508755,25600,0,130291,193441,2271,265,130248,191897,2269,265,56267,68158,1285,156,326268,15.6,324679,20,125866,33.3,NA,NA,NA,NA,No,0
2021-03-12,NV,NVA,Nevada,3080156,Report,1166260,930754,37864,30218,429643,493468,7643,0,585867,19,10.4,585358,24.5,930021,38953,297687,60,471300,95026,320799,320600,13.4,48848,586200,547560,32500,0,146498,174301,7595,0,146484,174116,7594,0,73333,87430,2817,0,328394,10.7,328194,13.7,163580,33,NA,NA,NA,NA,No,0
2021-03-12,NY,NYA,New York State,19453561,Report,8007325,5999720,41161,30841,2939148,2981952,77968,652,4010039,20.6,9.6,4002870,26,5991326,38841,1745086,52.9,2574164,78096,1876969,1875639,12.2,51910,3959000,3852225,196100,0,954115,922744,77080,110,953984,921545,77077,110,398367,429805,25060,60,1954049,10,1952716,12.7,853292,25.9,NA,NA,NA,NA,No,0
2021-03-12,OH,OHA,Ohio,11689100,Report,4614085,3494036,39473,29891,1780183,1650983,60266,2604,2232778,19.1,10.5,2230592,24.5,3490716,38313,1275840,62.3,1985939,97049,1227646,1226528,13.5,50643,2312100,2168985,133000,0,629250,597655,59405,741,629208,596580,59397,740,303265,389620,21036,495,1287051,11,1285925,14.1,714416,34.9,NA,NA,NA,NA,No,0
2021-03-12,OK,OKA,Oklahoma,3956971,Report,1975455,1398278,49923,35337,659893,731810,6568,7,891158,22.5,12.3,888747,29.6,1395401,46440,421433,66.4,721986,113675,486518,486168,16.2,65745,1000700,926055,48700,0,229828,256689,6502,1,229817,256350,6501,1,157338,135988,2028,0,493020,12.5,492669,16.4,295354,46.5,NA,NA,NA,NA,No,0
2021-03-12,OR,ORA,Oregon,4217737,Report,1634415,1271685,38751,30151,633838,631875,5054,918,806341,19.1,10.8,804143,24,1268042,37839,369034,48.2,499953,65261,456343,454934,13.6,48771,834500,752115,47800,0,216907,239288,5097,148,216772,238014,5096,148,57663,78222,3444,64,461440,10.9,460030,13.7,139393,18.2,NA,NA,NA,NA,No,0
2021-03-12,PA,PAA,Pennsylvania,12801989,Report,5193895,3759104,40571,29363,1924087,1833159,1759,99,2548224,19.9,9.4,2543264,25,3752362,36906,1231452,51.5,1775048,74165,1208136,1206386,11.9,51084,2647400,2402595,143900,0,616496,591573,3346,67,616358,589962,3346,66,287770,249728,1426,35,1211482,9.5,1209732,11.9,538959,22.5,NA,NA,NA,NA,No,0
2021-03-12,PR,PRA,Puerto Rico,3193694,Report,1420220,698082,44470,21858,297613,399671,551,247,440880,13.8,8.1,440609,17.7,697701,28008,206683,38.1,299144,55098,258762,258651,10.4,57012,711700,670020,38500,0,107188,151567,562,7,107170,151474,561,7,43953,51159,73,0,259324,8.1,259212,10.4,95185,17.5,NA,NA,NA,NA,No,0
2021-03-12,RI,RIA,Rhode Island,1059361,Report,437405,359501,41290,33936,192155,165159,2187,0,258664,24.4,9.6,258414,30.2,359136,42011,140787,75.3,171769,91832,102036,101924,11.9,51166,219000,206505,11900,0,57257,44778,2294,1,57254,44669,2294,1,15170,17527,364,0,104330,9.8,104218,12.2,33061,17.7,NA,NA,NA,NA,No,0
2021-03-12,RP,RPA,Republic of Palau,17907,Report,14800,9193,82649,51337,9192,1,0,0,6158,34.4,17.5,6158,44.1,9193,65819,1305,42.9,2344,77004,3136,3136,22.5,105964,14600,0,200,0,3124,12,0,0,3124,12,0,0,1062,7,0,0,3136,17.5,3136,22.5,1069,35.1,NA,NA,NA,NA,No,0
2021-03-12,SC,SCA,South Carolina,5148714,Report,1894535,1493376,36796,29005,545831,935920,10601,1024,950186,18.5,10.4,949151,23.5,1491928,36951,612931,65.4,971737,103705,535149,534758,13.2,46923,854100,981435,59000,0,155602,379343,10043,204,155582,378972,10039,204,116653,241848,2459,139,545192,10.6,544797,13.5,361099,38.5,NA,NA,NA,NA,No,0
2021-03-12,SD,SDA,South Dakota,884659,Report,449235,349016,50781,39452,176222,171342,1439,13,226056,25.6,14,225412,33.8,348098,52145,118013,77.7,178425,117485,123433,123168,18.5,67295,233300,205335,10600,0,60129,63300,1590,4,60122,63042,1590,4,28090,33133,281,1,125023,14.1,124758,18.7,61505,40.5,NA,NA,NA,NA,No,0
2021-03-12,TN,TNA,Tennessee,6829174,Report,2668520,1812050,39075,26534,873489,930883,5684,1994,1161962,17,9,1161298,21.8,1811259,34052,645074,56.4,1011870,88497,617608,617465,11.6,50168,1364200,1235520,68800,0,270725,346355,5914,528,270711,346227,5909,527,166377,183210,1372,355,623522,9.1,623374,11.7,351314,30.7,NA,NA,NA,NA,No,0
2021-03-12,TX,TXA,Texas,28995881,Report,10885765,8005490,37542,27609,3914299,3996477,94474,240,5100346,17.6,9,5080635,23.5,7975379,36930,2100323,56.2,3384922,90646,2598732,2588689,12,50406,5321500,5219565,344700,0,1312281,1286248,92802,96,1307209,1281277,92443,96,590002,578297,41724,43,2691427,9.3,2681026,12.4,1210066,32.4,NA,NA,NA,NA,No,0
2021-03-12,UT,UTA,Utah,3205958,Report,1140260,945378,35567,29488,449862,476944,18572,0,562291,17.5,7.4,560396,24.6,942761,41444,236628,64.7,369238,100920,236272,235790,10.4,50126,585700,524160,30400,0,117767,118505,18189,0,117721,118069,18177,0,34828,51813,4479,0,254461,7.9,253967,11.2,91120,24.9,NA,NA,NA,NA,No,0
2021-03-12,VA,VAA,Virginia,8535519,Report,3221575,2753938,37743,32264,1300945,1398806,53912,275,1776967,20.8,11.3,1773577,26.6,2749194,41188,813577,59.9,1210252,89061,963027,961835,14.4,48266,1591500,1541475,88600,0,455329,507607,53273,91,455145,506599,53205,91,189793,207205,20158,59,1016300,11.9,1015040,15.2,417215,30.7,NA,NA,NA,NA,No,0
2021-03-12,VA2,VA2,Veterans Health,0,Report,3553105,2917334,0,0,1565140,1335507,16686,1,1843615,0,0,1843544,0,2917214,0,1209599,0,1962838,0,1072234,1072185,0,0,1952100,1528605,72400,0,541453,530781,16681,0,541437,530748,16680,0,386021,366880,6439,0,1088915,0,1088865,0,759340,0,NA,NA,NA,NA,No,0
2021-03-12,VI,VIA,Virgin Islands,104680,Report,46500,26202,44421,25031,11450,14752,0,0,17254,16.5,7.9,17155,21,26093,31957,6660,37.4,10495,58974,8315,8306,10.2,56950,18800,27300,400,0,4078,4237,5,0,4073,4233,5,0,2032,1713,4,0,8320,7.9,8311,10.2,3749,21.1,NA,NA,NA,NA,No,0
2021-03-12,VT,VTA,Vermont,623989,Report,289750,217495,46435,34856,113488,103806,4,197,139766,22.4,11.7,139575,27.4,217195,42589,83135,66.5,114714,91743,72993,72871,14.3,56816,147900,134550,7300,0,36750,36187,45,56,36739,36076,44,56,11814,16824,10,35,73038,11.7,72915,14.3,28683,22.9,NA,NA,NA,NA,No,0
2021-03-12,WA,WAA,Washington,7614893,Report,3106330,2441777,40793,32066,1217499,1213311,9807,1160,1555378,20.4,11.4,1552923,26.1,2438424,40969,798288,66,1261735,104299,868509,867615,14.6,52191,1560200,1461330,84800,0,455877,412293,10011,339,455824,411452,10011,339,239824,212841,3380,250,878520,11.5,877626,14.7,456295,37.7,NA,NA,NA,NA,No,0
2021-03-12,WI,WIA,Wisconsin,5822434,Report,2215335,1944768,38048,33401,885833,1055899,2870,166,1240451,21.3,11.8,1238812,27.2,1942430,42636,707883,69.6,1107321,108855,688832,688135,15.1,48626,1115900,1036035,63400,0,280784,408002,3106,46,280762,407327,3104,46,164708,215913,305,26,691938,11.9,691239,15.2,380952,37.4,NA,NA,NA,NA,No,0
2021-03-12,WV,WVA,West Virginia,1792147,Report,778825,651835,43458,36372,328600,322393,842,0,397640,22.2,13.7,397117,27.7,651033,45445,213672,58.2,350352,95461,245621,245376,17.1,54365,407400,350025,21400,0,121212,124397,1209,12,121162,124202,1208,12,66217,66783,347,6,246830,13.8,246584,17.2,133353,36.3,NA,NA,NA,NA,No,0
2021-03-12,WY,WYA,Wyoming,578759,Report,270015,199232,46654,34424,103448,94828,888,68,121792,21,12.8,121621,27.3,199007,44718,62616,63.1,107340,108229,74206,74154,16.7,60674,143200,120315,6500,0,37023,37173,851,10,37020,37124,851,10,21629,22198,179,6,75057,13,75005,16.9,44012,44.4,NA,NA,NA,NA,No,0
2021-03-12,LTC,LTC,Long Term Care,NA,NA,NA,7499822,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,No,0
