date,location,short_name,long_name,census2019,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,administered_moderna,administered_pfizer,administered_unk_manuf,skipped,skip_n
2021-01-28,MO,MOA,Missouri,6137428,822850,382552,13407,6233,294872,4804,85827,1398,NA,NA,NA,No,0
2021-01-28,MP,MPA,Northern Mariana Islands,56882,18650,9251,32787,16263,6189,10880,3058,5376,NA,NA,NA,No,0
2021-01-28,MS,MSA,Mississippi,2976149,418050,201247,14047,6762,181550,6100,19475,654,NA,NA,NA,No,0
2021-01-28,MT,MTA,Montana,1068778,138725,86213,12980,8067,68032,6365,18149,1698,NA,NA,NA,No,0
2021-01-28,NC,NCA,North Carolina,10488084,1399775,849801,13346,8103,728551,6946,120480,1149,NA,NA,NA,No,0
2021-01-28,ND,NDA,North Dakota,762062,105900,80051,13897,10505,60164,7895,18244,2394,NA,NA,NA,No,0
2021-01-28,NE,NEA,Nebraska,1934408,287400,150019,14857,7755,116769,6036,32380,1674,NA,NA,NA,No,0
2021-01-28,NH,NHA,New Hampshire,1359711,200625,110451,14755,8123,88624,6518,21781,1602,NA,NA,NA,No,0
2021-01-28,NJ,NJA,New Jersey,8882190,1230550,648215,13854,7298,558156,6284,88198,993,NA,NA,NA,No,0
2021-01-28,NM,NMA,New Mexico,2096829,314750,224692,15011,10716,180272,8597,41669,1987,NA,NA,NA,No,0
2021-01-28,NV,NVA,Nevada,3080156,339500,194942,11022,6329,167481,5437,26327,855,NA,NA,NA,No,0
2021-01-28,NY,NYA,New York State,19453561,2812625,1630504,14458,8382,1320572,6788,238722,1227,NA,NA,NA,No,0
2021-01-28,OH,OHA,Ohio,11689100,1532450,789869,13110,6757,683323,5846,106035,907,NA,NA,NA,No,0
2021-01-28,OK,OKA,Oklahoma,3956971,592975,363253,14986,9180,308458,7795,52465,1326,NA,NA,NA,No,0
2021-01-28,OR,ORA,Oregon,4217737,606725,340383,14385,8070,285528,6770,53662,1272,NA,NA,NA,No,0
2021-01-28,PA,PAA,Pennsylvania,12801989,1915350,856371,14961,6689,695656,5434,159259,1244,NA,NA,NA,No,0
2021-01-28,PR,PRA,Puerto Rico,3193694,525000,212179,16439,6644,165862,5193,45057,1411,NA,NA,NA,No,0
2021-01-28,RI,RIA,Rhode Island,1059361,153625,80138,14502,7565,61554,5810,18562,1752,NA,NA,NA,No,0
2021-01-28,RP,RPA,Republic of Palau,17907,6000,3067,33506,17127,3067,17127,0,0,NA,NA,NA,No,0
2021-01-28,SC,SCA,South Carolina,5148714,548750,359949,10658,6991,302890,5883,55183,1072,NA,NA,NA,No,0
2021-01-28,SD,SDA,South Dakota,884659,123800,91776,13994,10374,67171,7593,24543,2774,NA,NA,NA,No,0
2021-01-28,TN,TNA,Tennessee,6829174,939650,510050,13759,7469,385682,5648,123116,1803,NA,NA,NA,No,0
2021-01-28,TX,TXA,Texas,28995881,3513450,2107005,12117,7267,1731725,5972,373624,1289,NA,NA,NA,No,0
2021-01-28,UT,UTA,Utah,3205958,399425,239807,12459,7480,201134,6274,30065,938,NA,NA,NA,No,0
2021-01-28,VA,VAA,Virginia,8535519,1171750,668401,13728,7831,552909,6478,89645,1050,NA,NA,NA,No,0
2021-01-28,VA2,VA2,Veterans Health,0,1367700,792348,0,0,655236,0,136319,0,NA,NA,NA,No,0
2021-01-28,VI,VIA,Virgin Islands,104680,17075,4620,16312,4413,3901,3727,719,687,NA,NA,NA,No,0
2021-01-28,VT,VTA,Vermont,623989,98775,58871,15830,9435,46376,7432,12418,1990,NA,NA,NA,No,0
2021-01-28,WA,WAA,Washington,7614893,1003550,571135,13179,7500,468528,6153,91733,1205,NA,NA,NA,No,0
2021-01-28,WI,WIA,Wisconsin,5822434,793050,361917,13621,6216,302339,5193,57508,988,NA,NA,NA,No,0
2021-01-28,WV,WVA,West Virginia,1792147,278400,224604,15534,12533,173750,9695,50843,2837,NA,NA,NA,No,0
2021-01-28,WY,WYA,Wyoming,578759,82825,43425,14311,7503,37963,6559,5419,936,NA,NA,NA,No,0
2021-01-28,US,USA,United States,331996199,48386275,26193682,NA,NA,21698606,NA,4263056,NA,11737592,14355980,100110,No,0
2021-01-28,LTC,LTC,Long Term Care,NA,NA,3102134,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0
